no,type,name,description
25,datatype,select_prefcture,都道府県検索の補助テーブル（新規。該当件数キャッシュ）
26,datatype,shop,店舗情報。旧Userから店舗系フィールドを分離した新テーブル。曜日別営業時間を内包
27,datatype,shop_holiday,例外営業日。週次予定と異なる日だけ登録（旧: 営業カレンダー（日付））
28,datatype,Sub_Option,サブオプション。数量管理のオプション商品。在庫リスト(number0-5)は例外日方式に変更
29,datatype,User,ユーザー。認証・プロフィール・決済情報。店舗系フィールドはshopへ分離
30,datatype,オプション例外日,オプションの貸出例外日（新規）。日付単位で在庫例外を管理
31,datatype,工事中,【旧残骸】メンテナンスフラグ（maintenanceへ移行・削除予定）
32,datatype,自転車例外日,自転車の貸出例外日（新規）。日付単位で貸出不可を管理
01,optionset,app_info,管理者メール・サービス名・メール署名などグローバル設定（旧: Admin_info。email_signature追加）
02,optionset,Bicycle Category,自転車カテゴリ（ロード・クロス・MTB等）。order属性追加
03,optionset,brand_status,ブランドレビューの審査状態
04,optionset,confom/pw_mode,認証/パスワード画面のモード切替（新規）
05,optionset,hour,時マスタ 0〜23（新規）
06,optionset,menu_プライバシーポリシー,プライバシーポリシー本文（長文テキスト）
07,optionset,menu_利用規約,利用規約本文（長文テキスト）
08,optionset,menu_特定商取引法に基づく表記,特定商取引法表記（セクション分割・8値に拡張）
09,optionset,minute,分マスタ 10分刻み（新規）
10,optionset,noplan_list,プランなし状態の定義
11,optionset,page,ページ遷移パラメータ定義（旧: index_page。29値に拡張）
12,optionset,Pay.jp apply redirect url,Pay.JPテナント申請後のリダイレクトURL
13,optionset,pay.jp pk,Pay.JP公開鍵
14,optionset,pay_jp_key,Pay.JPの公開鍵・秘密鍵
15,optionset,payment_method,店頭決済 / クレジットカード決済（旧: 支払い方法）
16,optionset,Platform_Fee,プラットフォーム手数料率
17,optionset,Prefecture,都道府県マスタ47件（新規option set化。旧Prefectureテーブルの置き換え）
18,optionset,reservation_tag,予約タグ（新規）
19,optionset,reserve_mode,予約モード（新規）
20,optionset,Rights,ユーザー / 加盟店 / 管理者のアクセス権限。parameter属性追加
21,optionset,search_veiw_mode,検索画面の表示モード（新規）
22,optionset,setting_tag,設定画面タグ（新規）
23,optionset,Shop_Sidebar,ショップ管理画面のサイドバー大項目（旧構成の残り）
24,optionset,Shop_Sidebar_sub,ショップ管理画面のサイドバー項目（旧構成の残り）
25,optionset,Sidebar_category,統合管理画面サイドバー大項目（新規。roleで管理者/店舗を出し分け）
26,optionset,Sidebar_item,統合管理画面サイドバー項目（新規。role・並び順属性付き）
27,optionset,sign_in/up_mode,サインイン/アップ画面のモード（新規）
28,optionset,tax,消費税率のグローバル設定（新規）
29,optionset,Time,0:00〜23:50の時刻マスタ（10分刻み・144件）
30,optionset,user_info_screen,ユーザー情報画面のモード（新規）
31,optionset,yes/no,True/Falseの汎用フラグ
32,optionset,予約ステータス,貸出中・来客待ち・返却済み等、予約の進行状態（仮情報は5値に）
33,optionset,予約種別,過去の予約 / 現在の予約の表示切替
34,optionset,予約管理並び替え,予約一覧の並び順オプション
35,optionset,会員登録表示,会員登録フローのステップ表示
36,optionset,営業状態op,営業 / 休業
37,optionset,振り込みステータス,振込済 / 未振込
38,optionset,新着/古い,新着順 / 古い順のソートオプション
39,optionset,曜日,月〜日・祝日のスラグ定義。date_nubmer属性追加
40,optionset,月,1月〜12月
41,optionset,検索カテゴリ,貸出日・返却日・エリア・自転車タイプ等の検索フィルター
42,optionset,決済ステータス,決済済み・未決済の支払い状態（5値→2値に整理）
43,optionset,管理者/運営_news_type,お知らせ種別（3値→2値に整理）
44,optionset,表示レポート_加盟店,加盟店向け売上レポートの表示項目（5値→3値に整理）
45,optionset,表示項目,管理者向けダッシュボードの表示項目
46,optionset,貸し出し可能ステータス,自転車のユーザー表示フラグ
